Date,Word,Clue
2025-12-14,ITIGIL,Matakwil
2025-12-14,ITIGIL,Pabayaan
2025-12-14,ITIGIL,Panawan
2025-12-14,IWAN,Ipaubaya
2025-12-14,IWAN,Itakwil
2025-12-14,IWAN,Itigil
2025-12-14,IWAN,Lisanin
2025-12-14,IWAN,Magpaubaya
2025-12-14,IWAN,Magtakwil
2025-12-14,IWAN,Matakwil
2025-12-14,IWAN,Pabayaan
2025-12-14,IWAN,Panawan
2025-12-14,LISANIN,Ipaubaya
2025-12-14,LISANIN,Itakwil
2025-12-14,LISANIN,Itigil
2025-12-14,LISANIN,Iwan
2025-12-14,LISANIN,Magpaubaya
2025-12-14,LISANIN,Magtakwil
2025-12-14,LISANIN,Matakwil
2025-12-14,LISANIN,Pabayaan
2025-12-14,LISANIN,Panawan
2025-12-14,MAGPAUBAYA,Itakwil
2025-12-14,MAGPAUBAYA,Itigil
2025-12-14,MAGPAUBAYA,Iwan
2025-12-14,MAGPAUBAYA,Lisanin
2025-12-14,MAGPAUBAYA,Magtakwil
2025-12-14,MAGPAUBAYA,Matakwil
2025-12-14,MAGPAUBAYA,Panawan
2025-12-14,MAGTAKWIL,Ipaubaya
2025-12-14,MAGTAKWIL,Itigil
2025-12-14,MAGTAKWIL,Iwan
2025-12-14,MAGTAKWIL,Lisanin
2025-12-14,MAGTAKWIL,Magpaubaya
2025-12-14,MAGTAKWIL,Pabayaan
2025-12-14,MAGTAKWIL,Panawan
2025-12-14,MATAKWIL,Ipaubaya
2025-12-14,MATAKWIL,Itigil
2025-12-14,MATAKWIL,Iwan
2025-12-14,MATAKWIL,Lisanin
2025-12-14,MATAKWIL,Magpaubaya
2025-12-14,MATAKWIL,Pabayaan
2025-12-14,MATAKWIL,Panawan
2025-12-14,PABAYAAN,Itakwil
2025-12-14,PABAYAAN,Itigil
2025-12-14,PABAYAAN,Iwan
2025-12-14,PABAYAAN,Lisanin
2025-12-14,PABAYAAN,Magtakwil
2025-12-14,PABAYAAN,Matakwil
2025-12-14,PANAWAN,Ipaubaya
2025-12-14,PANAWAN,Itakwil
2025-12-14,PANAWAN,Itigil
2025-12-14,PANAWAN,Iwan
2025-12-14,PANAWAN,Lisanin
2025-12-14,PANAWAN,Magpaubaya
2025-12-14,PANAWAN,Magtakwil
2025-12-14,PANAWAN,Matakwil
2025-12-14,ABANDONADODO,Itinakwil
2025-12-14,ABANDONADODO,Pinababayaan
2025-12-14,ABANDONADODO,Pinabayaan
2025-12-14,ABANDONADODO,Wakawak
2025-12-14,ITINAKWIL,Abandonado-do
2025-12-14,ITINAKWIL,Pinababayaan
2025-12-14,ITINAKWIL,Pinabayaan
2025-12-14,ITINAKWIL,Wakawak
2025-12-14,PINABABAYAAN,Abandonado-do
2025-12-14,PINABABAYAAN,Itinakwil
2025-12-14,PINABABAYAAN,Wakawak
2025-12-14,PINABAYAAN,Abandonado-do
2025-12-14,PINABAYAAN,Itinakwil
2025-12-14,PINABAYAAN,Wakawak
2025-12-14,WAKAWAK,Abandonado-do
2025-12-14,WAKAWAK,Itinakwil
2025-12-14,WAKAWAK,Pinababayaan
2025-12-14,WAKAWAK,Pinabayaan
2025-12-14,LISAN,Pag-iiwan
2025-12-14,LISAN,Pagpapabaya
2025-12-14,PAGIIWAN,Lisan
2025-12-14,PAGIIWAN,Pagpapabaya
2025-12-14,PAGLISAN,Pagpapabaya
2025-12-14,PAGPAPABAYA,Lisan
2025-12-14,PAGPAPABAYA,Pag-iiwan
2025-12-14,PAGPAPABAYA,Paglisan
2025-12-14,HUMINA,Pahulawin
2025-12-14,PAHULAWIN,Humina
2025-12-14,DAGLATIN,Iklian
2025-12-14,DAGLATIN,Paikliin
2025-12-14,IKLIAN,Daglatin
2025-12-14,PAIKLIIN,Daglatin
2025-12-14,KAYUYO,Puson
2025-12-14,KAYUYO,Tiyan
2025-12-14,PUSON,Kayuyo
2025-12-14,PUSON,Tiyan
2025-12-14,TIYAN,Kayuyo
2025-12-14,TIYAN,Puson
2025-12-14,KASINSAYAN,Pagkasira-sira
2025-12-14,PAGKASIRASIRA,Kasinsayan
2025-12-14,KAPOOTAN,Kasuklaman
2025-12-14,KAPOOTAN,Mangani
2025-12-14,KAPOOTAN,Masuklam
2025-12-14,KAPOOTAN,Masulukasok
2025-12-14,KASUKLAMAN,Kapootan
2025-12-14,KASUKLAMAN,Mangani
2025-12-14,KASUKLAMAN,Mapoot
2025-12-14,KASUKLAMAN,Masulukasok
2025-12-14,MANGANI,Kapootan
2025-12-14,MANGANI,Kasuklaman
2025-12-14,MANGANI,Mapoot
2025-12-14,MANGANI,Masuklam
2025-12-14,MANGANI,Masulukasok
2025-12-14,MAPOOT,Kasuklaman
2025-12-14,MAPOOT,Mangani
2025-12-14,MAPOOT,Masuklam
2025-12-14,MAPOOT,Masulukasok
2025-12-14,MASUKLAM,Kapootan
2025-12-14,MASUKLAM,Mangani
2025-12-14,MASUKLAM,Mapoot
2025-12-14,MASULUKASOK,Kapootan
2025-12-14,MASULUKASOK,Kasuklaman
2025-12-14,MASULUKASOK,Mangani
2025-12-14,MASULUKASOK,Mapoot
2025-12-14,KAMUHIMUHI,Nakaiinis
2025-12-14,KAMUHIMUHI,Nakapangangani
2025-12-14,KAMUHIMUHI,Nakasusulukasok
2025-12-14,NAKAIINIS,Kamuhi-muhi
2025-12-14,NAKAIINIS,Nakamumuhi
2025-12-14,NAKAIINIS,Nakapangangani
2025-12-14,NAKAIINIS,Nakasusulukasok
2025-12-14,NAKAMUMUHI,Nakaiinis
2025-12-14,NAKAMUMUHI,Nakapangangani
2025-12-14,NAKAMUMUHI,Nakasusulukasok
2025-12-14,NAKAPANGANGANI,Kamuhi-muhi
2025-12-14,NAKAPANGANGANI,Nakaiinis
2025-12-14,NAKAPANGANGANI,Nakamumuhi
2025-12-14,NAKAPANGANGANI,Nakasusulukasok
2025-12-14,NAKASUSULUKASOK,Kamuhi-muhi
2025-12-14,NAKASUSULUKASOK,Nakaiinis
2025-12-14,NAKASUSULUKASOK,Nakamumuhi
2025-12-14,NAKASUSULUKASOK,Nakapangangani
2025-12-14,LUMAGI,Manahan
2025-12-14,LUMAGI,Tumahan
2025-12-14,MANAHAN,Lumagi
2025-12-14,TUMAHAN,Lumagi
2025-12-14,SUMANGAYON,Sundin
2025-12-14,SUNDIN,Sumang-ayon
2025-12-14,SUNDIN,Umayon
2025-12-14,UMAYON,Sundin
2025-12-14,ABILIDAD,Kakayahan
2025-12-14,ABILIDAD,Kapasidad
2025-12-14,ABILIDAD,Kaya
2025-12-14,KAKAYAHAN,Abilidad
2025-12-14,KAKAYAHAN,Kapasidad
2025-12-14,KAPASIDAD,Abilidad
2025-12-14,KAPASIDAD,Kakayahan
2025-12-14,KAPASIDAD,Kaya
2025-12-14,KAYA,Abilidad
2025-12-14,KAYA,Kapasidad
2025-12-14,HAMAK,Kaaba-aba
2025-12-14,HAMAK,Kasuklam-suklam
2025-12-14,KAABAABA,Hamak
2025-12-14,KAABAABA,Kasuklam-suklam
2025-12-14,KASUKLAMSUKLAM,Hamak
2025-12-14,KASUKLAMSUKLAM,Kaaba-aba
2025-12-14,KAKAYAHAN,Kompetente
2025-12-14,KOMPETENTE,Kakayahan
2025-12-14,KOMPETENTE,May kaya
2025-12-14,KOMPETENTE,May-kaya
2025-12-14,MAYKAYA,Kompetente
2025-12-14,MAYKAYA,Kompetente
2025-12-14,ALANGAN,Di-karaniwan
2025-12-14,ALANGAN,Di-pangkaraniwan
2025-12-14,ALANGAN,Kulang ang/sa isip
2025-12-14,ALANGAN,Pambihira
2025-12-14,DIKARANIWAN,Alangan
2025-12-14,DIKARANIWAN,Kulang ang/sa isip
2025-12-14,DIKARANIWAN,Pambihira
2025-12-14,DIPANGKARANIWAN,Alangan
2025-12-14,DIPANGKARANIWAN,Kulang ang/sa isip
2025-12-14,DIPANGKARANIWAN,Pambihira
2025-12-14,KULANGANGSAISIP,Alangan
2025-12-14,KULANGANGSAISIP,Di-karaniwan
2025-12-14,KULANGANGSAISIP,Di-pangkaraniwan
2025-12-14,KULANGANGSAISIP,Pambihira
2025-12-14,PAMBIHIRA,Alangan
2025-12-14,PAMBIHIRA,Di-karaniwan
2025-12-14,PAMBIHIRA,Di-pangkaraniwan
2025-12-14,PAMBIHIRA,Kulang ang/sa isip
2025-12-14,KAKATUWANGKILOS,Pagkamasira-sira
2025-12-14,KAKATUWANGKILOS,Pagkamasumpungin
2025-12-14,KAKATUWANGPAGKILOS,Pagkamasira-sira
2025-12-14,KAKATUWANGPAGKILOS,Pagkamasumpungin
2025-12-14,PAGKAMASIRASIRA,Kakatuwang-kilos
2025-12-14,PAGKAMASIRASIRA,Kakatuwang-pagkilos
2025-12-14,PAGKAMASIRASIRA,Pagkamasumpungin
2025-12-14,PAGKAMASUMPUNGIN,Kakatuwang-kilos
2025-12-14,PAGKAMASUMPUNGIN,Kakatuwang-pagkilos
2025-12-14,PAGKAMASUMPUNGIN,Pagkamasira-sira
2025-12-14,PAWALANGBISA,Pawiin
2025-12-14,PAWIIN,Pawalang-bisa
2025-12-14,PAGBIBIGAYWAKAS,Pagkaalis
2025-12-14,PAGBIBIGAYWAKAS,Pagkakaalis
2025-12-14,PAGBIBIGAYWAKAS,Pagkapawi
2025-12-14,PAGBIBIGAYWAKAS,Pagpapawalang-bisa
2025-12-14,PAGKAALIS,Pagbibigay-wakas
2025-12-14,PAGKAKAALIS,Pagbibigay-wakas
2025-12-14,PAGKAPAWI,Pagbibigay-wakas
2025-12-14,PAGPAPAWALANGBISA,Pagbibigay-wakas
2025-12-14,KAANIANI,Nakakasuklam
2025-12-14,KAANIANI,Nakapandidiri
2025-12-14,NAKAKASUKLAM,Kaani-ani
2025-12-14,NAKAKASUKLAM,Nakapandidiri
2025-12-14,NAKAPANDIDIRI,Kaani-ani
2025-12-14,NAKAPANDIDIRI,Nakakasuklam
2025-12-14,ABORSIYON,Pagpapaagas
2025-12-14,PAGPAPAAGAS,Aborsiyon
2025-12-14,MAGKATUSAK,Mamutiktik
2025-12-14,MAMUTIKTIK,Magkatusak
2025-12-14,NAGDUDUMAMI,Nagkakabuntun-bunton
2025-12-14,NAGDUDUMAMI,Nagkakatusak
2025-12-14,NAGDUDUMAMI,Namumunini
2025-12-14,NAGDUDUMAMI,Nananagana
2025-12-14,NAGKAKABUNTUNBUNTON,Nagdudumami
2025-12-14,NAGKAKABUNTUNBUNTON,Nagkakatusak
2025-12-14,NAGKAKABUNTUNBUNTON,Namumunini
2025-12-14,NAGKAKABUNTUNBUNTON,Nananagana
2025-12-14,NAGKAKATUSAK,Nagdudumami
2025-12-14,NAGKAKATUSAK,Nagkakabuntun-bunton
2025-12-14,NAGKAKATUSAK,Namumunini
2025-12-14,NAGKAKATUSAK,Nananagana
2025-12-14,NAMUMUNINI,Nagdudumami
2025-12-14,NAMUMUNINI,Nagkakabuntun-bunton
2025-12-14,NAMUMUNINI,Nagkakatusak
2025-12-14,NAMUMUNINI,Nananagana
2025-12-14,NANANAGANA,Nagdudumami
2025-12-14,NANANAGANA,Nagkakabuntun-bunton
2025-12-14,NANANAGANA,Nagkakatusak
2025-12-14,NANANAGANA,Namumunini
2025-12-14,HALOS,Handa na
2025-12-14,HALOS,Humigit-kumulang
2025-12-14,HANDANA,Halos
2025-12-14,HANDANA,Humigit-kumulang
2025-12-14,HUMIGITKUMULANG,Halos
2025-12-14,HUMIGITKUMULANG,Handa na
2025-12-14,NASAITAAS,Sa ibabaw
2025-12-14,SAIBABAW,Nasa itaas
2025-12-14,GASGAS,Kakas
2025-12-14,KAKAS,Gasgas
2025-12-14,KAKAS,Pagkagasgas
2025-12-14,PAGKAGASGAS,Kakas
2025-12-14,ABRASIBO,Nakaaagnas
2025-12-14,ABRASIBO,Pangayod
2025-12-14,ABRASIBO,Panguskos
2025-12-14,NAKAAAGNAS,Abrasibo
2025-12-14,NAKAAAGNAS,Pangayod
2025-12-14,NAKAAAGNAS,Panguskos
2025-12-14,PANGAYOD,Abrasibo
2025-12-14,PANGAYOD,Nakaaagnas
2025-12-14,PANGAYOD,Panguskos
2025-12-14,PANGUSKOS,Abrasibo
2025-12-14,PANGUSKOS,Nakaaagnas
2025-12-14,PANGUSKOS,Pangayod
2025-12-14,MAGKAAGAPAY,Panalasa
2025-12-14,MAGKAKAAGAPAY,Panalasa
2025-12-14,PANALASA,Magkaagapay
2025-12-14,PANALASA,Magkakaagapay
2025-12-14,PAWALANGKABULUHAN,Magpawalang-bisa
2025-12-14,BUGASOK,Matarik
2025-12-14,BUGASOK,Pabigla-bigla
2025-12-14,MATARIK,Bugasok
2025-12-14,MATARIK,Pabigla-bigla
2025-12-14,PABIGLABIGLA,Bugasok
2025-12-14,PABIGLABIGLA,Matarik
2025-12-14,ALIPALA,Bugasok
2025-12-14,ALIPALA,Kabod
2025-12-14,ALIPALA,Kabud
2025-12-14,BUGASOK,Alipala
2025-12-14,BUGASOK,Kabod
2025-12-14,BUGASOK,Kabud
2025-12-14,KABOD,Alipala
2025-12-14,KABOD,Bugasok
2025-12-14,KABUD,Alipala
2025-12-14,KABUD,Bugasok
2025-12-14,ABSES,Baga
2025-12-14,ABSES,Naknak
2025-12-14,ABSES,Pagnanaknak
2025-12-14,ABSES,Pigsa
2025-12-14,ABSESO,Baga
2025-12-14,ABSESO,Naknak
2025-12-14,ABSESO,Pagnanaknak
2025-12-14,ABSESO,Pigsa
2025-12-14,BAGA,Abses
2025-12-14,BAGA,Abseso
2025-12-14,BAGA,Naknak
2025-12-14,BAGA,Pagnanaknak
2025-12-14,BAGA,Pigsa
2025-12-14,NAKNAK,Abses
2025-12-14,NAKNAK,Abseso
2025-12-14,NAKNAK,Baga
2025-12-14,NAKNAK,Pigsa
2025-12-14,PAGNANAKNAK,Abses
2025-12-14,PAGNANAKNAK,Abseso
2025-12-14,PAGNANAKNAK,Baga
2025-12-14,PAGNANAKNAK,Pigsa
2025-12-14,PIGSA,Abses
2025-12-14,PIGSA,Abseso
2025-12-14,PIGSA,Baga
2025-12-14,PIGSA,Naknak
2025-12-14,PIGSA,Pagnanaknak
2025-12-14,ABSEN,Ausensiya
2025-12-14,ABSEN,Balda
2025-12-14,ABSEN,Kawalan
2025-12-14,ABSEN,Liban
2025-12-14,ABSEN,Pagkawala
2025-12-14,ABSEN,Pagliban
2025-12-14,ABSEN,Palya
2025-12-14,ABSENT,Ausensiya
2025-12-14,ABSENT,Balda
2025-12-14,ABSENT,Kawalan
2025-12-14,ABSENT,Liban
2025-12-14,ABSENT,Pagkawala
2025-12-14,ABSENT,Pagliban
2025-12-14,ABSENT,Palya
2025-12-14,AUSENSIYA,Absen
2025-12-14,AUSENSIYA,Absent
2025-12-14,AUSENSIYA,Balda
2025-12-14,AUSENSIYA,Kawalan
2025-12-14,AUSENSIYA,Liban
2025-12-14,AUSENSIYA,Pagkawala
2025-12-14,AUSENSIYA,Pagliban
2025-12-14,AUSENSIYA,Palya
2025-12-14,BALDA,Absen
2025-12-14,BALDA,Absent
2025-12-14,BALDA,Ausensiya
2025-12-14,BALDA,Kawalan
2025-12-14,BALDA,Liban
2025-12-14,BALDA,Pagkawala
2025-12-14,BALDA,Pagliban
2025-12-14,KAWALAN,Absen
2025-12-14,KAWALAN,Absent
2025-12-14,KAWALAN,Ausensiya
2025-12-14,KAWALAN,Balda
2025-12-14,KAWALAN,Liban
2025-12-14,KAWALAN,Pagliban
2025-12-14,KAWALAN,Palya
2025-12-14,LIBAN,Absen
2025-12-14,LIBAN,Absent
2025-12-14,LIBAN,Ausensiya
2025-12-14,LIBAN,Balda
2025-12-14,LIBAN,Kawalan
2025-12-14,LIBAN,Pagkawala
2025-12-14,LIBAN,Palya
2025-12-14,PAGKAWALA,Absen
2025-12-14,PAGKAWALA,Absent
2025-12-14,PAGKAWALA,Ausensiya
2025-12-14,PAGKAWALA,Balda
2025-12-14,PAGKAWALA,Liban
2025-12-14,PAGKAWALA,Pagliban
2025-12-14,PAGKAWALA,Palya
2025-12-14,PAGLIBAN,Absen
2025-12-14,PAGLIBAN,Absent
2025-12-14,PAGLIBAN,Ausensiya
2025-12-14,PAGLIBAN,Balda
2025-12-14,PAGLIBAN,Kawalan
2025-12-14,PAGLIBAN,Pagkawala
2025-12-14,PALYA,Absen
2025-12-14,PALYA,Absent
2025-12-14,PALYA,Ausensiya
2025-12-14,PALYA,Kawalan
2025-12-14,PALYA,Liban
2025-12-14,PALYA,Pagkawala
2025-12-14,LUMIBAN,Mag-absen
2025-12-14,LUMIBAN,Mag-absent
2025-12-14,LUMIBAN,Umabsen
2025-12-14,LUMIBAN,Umabsent
2025-12-14,MAGABSEN,Lumiban
2025-12-14,MAGABSENT,Lumiban
2025-12-14,UMABSEN,Lumiban
2025-12-14,UMABSENT,Lumiban
2025-12-14,LUMILIPADANGISIP,Malilimutin
2025-12-14,LUMILIPADANGISIP,Malimutin
2025-12-14,LUMILIPADANGISIP,Tagulimot
2025-12-14,MALILIMUTIN,Lumilipad ang isip
2025-12-14,MALILIMUTIN,Tagulimot
2025-12-14,MALIMUTIN,Lumilipad ang isip
2025-12-14,MALIMUTIN,Tagulimot
2025-12-14,TAGULIMOT,Lumilipad ang isip
2025-12-14,TAGULIMOT,Malilimutin
2025-12-14,TAGULIMOT,Malimutin
2025-12-14,ABSULUTO,Buo
2025-12-14,ABSULUTO,Ganap
2025-12-14,ABSULUTO,Wagas
2025-12-14,BUO,Absuluto
2025-12-14,BUO,Ganap
2025-12-14,BUO,Wagas
2025-12-14,GANAP,Absuluto
2025-12-14,GANAP,Buo
2025-12-14,GANAP,Wagas
2025-12-14,WAGAS,Absuluto
2025-12-14,WAGAS,Buo
2025-12-14,WAGAS,Ganap
2025-12-14,BUUNGBUO,Din
2025-12-14,BUUNGBUO,Lubusan
2025-12-14,BUUNGBUO,Rin
2025-12-14,BUUNGBUO,Totoo
2025-12-14,BUUNGBUO,Walang-pasubali
2025-12-14,DIN,Buung-buo
2025-12-14,DIN,Lubusan
2025-12-14,DIN,Totoo
2025-12-14,DIN,Walang-pasubali
2025-12-14,LUBUSAN,Buung-buo
2025-12-14,LUBUSAN,Din
2025-12-14,LUBUSAN,Rin
2025-12-14,LUBUSAN,Totoo
2025-12-14,LUBUSAN,Walang-pasubali
2025-12-14,RIN,Buung-buo
2025-12-14,RIN,Lubusan
2025-12-14,RIN,Totoo
2025-12-14,RIN,Walang-pasubali
2025-12-14,TOTOO,Buung-buo
2025-12-14,TOTOO,Din
2025-12-14,TOTOO,Lubusan
2025-12-14,TOTOO,Rin
2025-12-14,TOTOO,Walang-pasubali
2025-12-14,WALANGPASUBALI,Buung-buo
2025-12-14,WALANGPASUBALI,Din
2025-12-14,WALANGPASUBALI,Lubusan
2025-12-14,WALANGPASUBALI,Rin
2025-12-14,WALANGPASUBALI,Totoo
2025-12-14,TAMANGTAMA,Wastung-wasto
2025-12-14,WASTUNGWASTO,Tamang-tama
2025-12-14,ABSULUSYON,Basbas
2025-12-14,ABSULUSYON,Kapatawaran
2025-12-14,ABSULUSYON,Pagpapawalang-sala
2025-12-14,ABSULUSYON,Patawad
2025-12-14,ABSULUSYON,Tawad
2025-12-14,BASBAS,Absulusyon
2025-12-14,BASBAS,Kapatawaran
2025-12-14,BASBAS,Pagpapawalang-sala
2025-12-14,BASBAS,Patawad
2025-12-14,BASBAS,Tawad
2025-12-14,KAPATAWARAN,Absulusyon
2025-12-14,KAPATAWARAN,Basbas
2025-12-14,KAPATAWARAN,Pagpapawalang-sala
2025-12-14,KAPATAWARAN,Tawad
2025-12-14,PAGPAPAWALANGSALA,Absulusyon
2025-12-14,PAGPAPAWALANGSALA,Basbas
2025-12-14,PAGPAPAWALANGSALA,Kapatawaran
2025-12-14,PAGPAPAWALANGSALA,Patawad
2025-12-14,PAGPAPAWALANGSALA,Tawad
2025-12-14,PATAWAD,Absulusyon
2025-12-14,PATAWAD,Basbas
2025-12-14,PATAWAD,Pagpapawalang-sala
2025-12-14,TAWAD,Absulusyon
2025-12-14,TAWAD,Basbas
2025-12-14,TAWAD,Kapatawaran
2025-12-14,TAWAD,Pagpapawalang-sala
2025-12-14,ABSULBIHAN,Bumasbas
2025-12-14,ABSULBIHAN,Magpawalang-sala
2025-12-14,BUMASBAS,Absulbihan
2025-12-14,BUMASBAS,Magpawalang-sala
2025-12-14,MAGPAWALANGSALA,Absulbihan
2025-12-14,MAGPAWALANGSALA,Bumasbas
2025-12-14,MAKABAWAS,Masipsip
2025-12-14,MAKABAWAS,Sipsipin
2025-12-14,MAKABAWAS,Sumipsip
2025-12-14,MASIPSIP,Makabawas
