Word,Clue
HITO,Isda ko sa tabang pag nasa lupa ay gumagapang.
SUSO (SNAIL),"Ang lokong si Hudas, dila ang pinanggagapang."
BUBUYOG,"Heto na si Buboy, bubulong-bulong."
IGAT,"Isdang parang ahas, sa karagatan pumapagaspas."
BATU-BATO,"Bato na ang tawag ko, bato pa rin ang tawag mo, turan mo kung ano."
LORO,"Ibon kong kay daldal, ginagaya lang ang inuusal."
LANGGAM,"Hakot dito, hakot doon, kahit maliit ay ipon ng ipon."
PALAKA,"Pag munti’y may buntot, paglaki ay punggok."
SUNGAY NG USA,"Kahoy ko sa Marigundong, sumasanga’y walang dahon."
PARUPARO,"Hindi pari, hindi hari, nagdadamit ng sari-sari."
SUSO (SNAIL),"Aling bagay sa mundo, ang inilalakad ay ulo?"
SUNGAY NG USA,"Usbong ng usbong, hindi naman nagdadahon."
SUSO,"Isang bahay na bato, ang takip ay bilao."
PAGONG,"Narito na si Katoto, may dala-dalang kubo."
PALAKA,"Di man isda, di man itik; nakahuhuni kung ibig."
PALAKA,"Heto na si Mang Topak, kokak ng kokak."
PUSA,Matanda na ang nuno di pa naliligo.
PUSA,"Kaaway ni Bantay, may siyam na buhay."
SALAGUBANG,Nakapaglalakad at nakalilipad. Kung minsa’y parang estatwang panatag. Negrung-negro sa kaitiman. Pakpak ay may kakintaban.
SULO,"Kawayang pinasakan ng basahan
Nagniningning sa kaliwanagan."
SUNGAY NG USA,"Bugtong kalibugtong,
Nagsasanga’y walang dahon."
SUSO,"Kinain nang kinain
Nang bilangin ay husto pa rin."
SUSO (SNAIL),"Isang bahay na bato
Ginagataan ng lola ko."
TALABA,"Hindi platero,hindi kusinero,
nagbibili ng pagkain o perlas na maningning."
ALIMANGO,"Bahay ni Ka Huli, haligi’y bali-bali. Ang bubong ay kawali."
TIGRE,"Damit niya ay dilaw na may mga bandang itim ang kulay,
Pangil ay nanggigigil mga kuko ay sisikil."
TILAOK,Malakas at mabikas na sigaw ng tandang sa madaling araw.
TUTUBI,"Aling insektong lumilipad,
Pakpak ay laging nakabukadkad?"
TUTUBI,Alin kayang insekto ang malaki ang mata kaysa ulo?
KALAPATI AT UWAK,"Dalawang ibong inutusan nang humupa ang bagyo’t ulan,
Lumipad sa kapaligiran, si Noah ay binalitaan."
UOD,"Aling hayop sa mundo,
Lumalakad ay walang buto?"
IBONG MARTINES,"Manok kong itim,
Nang putulan ng dila,
Saka pa nagsalita."
LANGGAM,"Gumabi man o umaraw,
Walang tigil sa galawan,
Pinapanhik bawat bahay
Pagkain ang sinasalakay."
PALAKA,"Nang maliit ay sirkero,
Nang lumaki ay musikero."
GAGAMBA,"Isang hayop na maliit,
Dumudumi ng sinulid?"
AHAS,"Baston ng Kapitan, hindi mahawakan."
GAGAMBA,"Isang alwaging masipag,
Gumagawa’y walang itak."
IBON,"Aling hayop sa mundo,
Ang labi ay buto?"
DALAWANG PAA,Dalawang magkaibigan mahilig mag-unahan.
GATAS NG INA,Tubig na pinagpala walang makakuha kundi munting bata.
KUKO,Tatal na munti panggamot sa kati.
DALIRI,Limang magkakapatid laging kabit-kabit.
BIBIG,Isang balong malalim puno ng patalim.
KAMAY,"Limang magkakapatid, iisa and dibdib."
KANANG SIKO,Aling bahagi ng katawan ang di naaabot ng kanang kamay?
TENGA,Dahon ng pindapinda magsinlapad ang dalawa.
NGIPIN,Isang bakud-bakuran sari-sari ang nagdaan.
NOO,Isang bundok hindi makita ang tuktok.
UTAK,Aling parte ng katawan ang di nababasa?
MGA MATA,"Dalawang batong itim, malayo ang nararating."
MGA PAA,"Heto na ang magkapatid, nag-uunahang pumanhik."
DILA,"Nakatago na, nababasa pa."
BUNGANG-ARAW,Anong bunga ang malayo sa sanga?
UTOT,Natawa ang nagbigay nagalit ang pinagbigyan.
TENGA,Dalawang balon hindi malingon.
MATA,"Dalawang batong maitim, malayo ang nararating."
TAE,"Munting bundok, hindi madampot."
MATA,"Dalawang tindahan, sabay na binubuksan."
MUKHA,"Isang bayabas, pito ang butas."
BUHOK,Halamang di nalalanta kahit natabas na.
BINTI,"Dalawang magkaibigan, nasa likod ang mga tiyan."
NGIPIN,"Batong marmol na buto, binalot ng gramatiko."
SUSO NG INA,"Dalawang punsu-punsuhan, ang laman ay kaligtasan."
TENGA,"Kay lapit-lapit na sa mata, di mo pa rin makita."
ILONG,"Dalawang libing, laging may hangin."
MATA,Dalawang bolang sinulid abot hanggang langit.
SINGAW,"Maliliit na sugat sa bibig
Dahil sa tag-init at di sa taglamig."
NOO,"Bahay ni Kaka, hindi matingala."
LEEG,"Mayroon akong gatang, hindi ko matingnan."
KUKO,"Limang magkakapatid, tigi-tig-isa ng silid."
DILA,"Sa silong naglalagi, basa pa ring lagi."
DILA,"Napapaligiran na ng bakod, ito pa rin ay labas masok."
BUHOK,"Putol ka nang putol, hindi naman malipol."
BINTI,"May dalawang magkaibigan, nagpunta sa aming bayan, ang likod ay nasa harapan, ang tiyan ay nasa likuran."
MATANDA,"Ang sariwa’y tatlo na, ang maitim ay maputi na, ang bakod ay lagas na."
PANGALAN,"Pag-aari mo, dala-dala mo, Pero madalas gamitin ng iba kaysa sa iyo."
PANGANGANINAG O REFLECTION,"Maaari mong makita ako sa tubig, ngunit hindi ako basa."
TUTULI,"Ito ay duming dapat tanggalin
Sa maruming tenga’y kailangang suriin."
DILA,"Isda ko sa upak,
Nagtatatalak."
TENGA,"Hawakan mo’t naririto, hanapin mo’t wala ito."
KABUTE,"Bahay ng anluwagi, Iisa ang haligi."
PUSO NG SAGING,"Maganda kong senyorita, susun-suson ang saya."
KALABASA,"Baboy sa kaingin, natapo’y walang pagkain."
DAHON NG GABI,"Ulan nang ulan, hindi pa rin mabasa ang tiyan."
SILI,"Baboy ko sa parang, namumula sa tapang."
SILI,"Munting tampipi, puno ng salapi."
SITAW,"Nang munti pa ay paruparo, nang lumaki ay latigo."
AMPALAYA,"Nang sumipot sa maliwanag, kulubot na ang balat."
PUNO NG KAMYAS,"Puno ko sa probinsya, puno’t dulo ay mga bunga."
SILI,"Isda ko sa Maribeles, Nasa loob ang kaliskis."
TALONG,"Gulay na granate ang kulay, matigas pa sa binti ni Aruray, pag nilaga ay lantang katuray."
SIBUYAS,"Habang aking hinihiwa, ako ay pinaluluha."
SIBUYAS,Ikaw na humihiwa-hiwa ay siya pang lumuluha.
TALONG,"Kangkong, reyna kangkong,
Matulis ang dahon ang bunga ay dupong."
SIGARILYAS,"Gulay na may arte ang porma, berdeng buhok tinirintas sa umaga."
SITAW,"Nang maliit ay paruparo
Nang lumaki ay panali mo."
SILI,"Baboy ko sa parang, namumula sa tapang."
SITAW,"Nakabaging na gulay
Karaniwang berde ang kulay
Bibitin-bitin sa halamanan
Pantali sa sapatos ni Belay."
SITAW,"Paruparo noong maliit pa
Bulate nang tumanda na."
KALABASA,"Ang anak ay nakaupo na, ang ina’y gumagapang pa."
SINGKAMAS,"Nang ihulog ko’y buto,
Nang hanguin ko’y malaking trumpo"
SITAW,"Paruparo nang bata,
Naging ahas nang tumanda."
SITAW,"Pwedeng gulay na nakabitin
Pantali sa sapatos ni Pipin."
TALONG,"Gulay na granate ang kulay
Matigas pa sa binti ni Aruray
Pag nilaga ay lantang katuray."
TOGE,"Munggo ito na ipinunla sa taniman
Naging puno itong walang dahong malalabay."
ULALO,"Mapait na bahagi ito
Sa kamoteng kinakain mo."
UPO,"Pamalo ni Mang Selo
Mula paa hanggang ulo
Nailuluto mo rin ito."
UPO,"Sisidlan ni Mang Bastian
Nangingintab sa kabuuan
Kulay niya ay luntian
Sa balag ay nagtatabaan."
AMPALAYA,"Pagsipot pa lang sa maliwanag,
kulubot na ang balat."
SIBUYAS,Katawan nito’y hinihiwa-hiwa kaya ikaw ay lumuluha.
KANGKONG,"Mapa-tubig, mapa-lupa
Ang dahon ay laging sariwa."
MANGGA,"Hugis-puso, kulay ginto, anong sarap kung kagatin, malinamnam kung kainin."
PINYA,"Bahay ni Margarita, naliligid ng Sandata."
MAKOPA,"Kampanilya ni Kaka, laging mapula ang mukha."
SUHA,"Isang tabo, laman ay pako."
SANTOL,Kung tawagin nila’y santo hindi naman milagroso.
BALIMBING,"Nakatalikod na ang prinsesa, ang mukha’y nakaharap pa."
NIYOG,"Tatlong bundok ang tinibag, bago narating ang dagat."
DAHON NG SAGING,"Hindi Linggo, hindi piyesta, naglawit ang bandera."
SAGING,"Bulaklak muna ang dapat gawin, bago mo ito kanin."
DAHON NG SAGING,"Wala pa ang giyera, wagayway na ang bandera."
PUNO NG SINIGUELAS,"Nang maglihi’y namatay, nang manganak ay nabuhay."
SAMPALOK,Sinampal ko muna bago inalok.
DUHAT,"Magkapatid na prinsesa, lahat nama’y pawang negra."
DUHAT,"Kumpul-kumpol na uling, hayon at bibitin-bitin."
SAMPALOK,"Maasim talaga ang kanyang bunga, may sampal na kasama mula sa ada."
SAMPALOK,Nakabaluktot na daliri sa sanga ay mauuri.
SINGKAMAS,"Gulay na kay tamis,
Maputi ang kutis."
PUNO NG SAGING,"Nanganak ang aswang, sa tuktok nagdaan."
SINGKAMAS,"Matamis na gulay
Puting-puti ang kulay
Sa lupa pa hinuhukay."
SINGKAMAS,"Nang ihulog ay buto,
Nang hanguin ay trumpo."
SINIGWELAS,"Namunga na ngang talaga,
Bakit nakakalbo pa?"
PAKWAN,"Balat ay berde, buto’y itim, laman ay pula,
Turingan mo kung ano siya."
PAPAYA,"Puno’y bumbong, sanga’y ahas,
Bunga’y gatang, lama’y bigas."
PUNO NG SAGING,"Nanganak ang aswang, sa tuktok dumaan."
DAHON NG SAGING,"Tabla magkabila,
Alulod sa gitna."
SUHA,"Bahay ng hari, lipos ng tari."
MAIS,"Isang pamalo, punung-puno ng ginto."
ITLOG,"Rubing nanggaling sa brilyante, brilyanteng nanggaling sa rubi."
TOYO,"Likidong itim, pangkulay sa lutuin."
SARDINAS,Mga isdang nagsisiksikan sa latang kanilang tirahan.
SUMAN,"Maputing parang kanin siya,
Dahon ng saging idinamit sa kanya."
TAMALES,"Malambot na kalamay na may katamisan
Malinamnam at gawang Kapampangan."
TAPA,"Karaniwang dinikdik itong baka
Na kapag ipinirito ay katakam-takam na."
DONAT,"Pagbali-baliktarin man din, may butas pa rin."
TUBO,"May binti, walang hita,
May balbas, walang baba,
May matamis, nginunguya."
TURON,"Pritong saging sa kalan
Lumutong pagkat dinamitan."
TSITSARON,"Sa mantika ay nagpuputukan
Balat ay naglulutungan."
YEMA,"Gatas na inasukalan
Selopeyn ang pinagbalutan."
ITLOG,"Bayabas ko sa tabing bahay, ang bunga’y walang tangkay."
TOKWA,"Maputing-maputing parang Chinita
Pag pinakuluan sa mantika ay namumula."
KULOG,"Baka ko sa palupandan, unga’y nakakarating kahit saan."
GABI,"Dumaan si Negro, nangamatay ang tao."
HANGIN,"Hayan na, hayan na, di mo pa makita."
KIDLAT,"Kumindat ang Sultan, natakot ang bayan."
KULOG,"Baka ko sa Bataan, abot dito ang unga."
TALON,"Buhos ng tubig na umaagos sa kaitaasan, tumatalon sa ilog-ilogan."
TUBIG,"Bibingka ng hari, hindi mo mahati."
ULAP,"Bulak na bibitin-bitin, di puwedeng balutin."
ALON,"May kabayo akong payat, pinalo ko ng patpat, lumukso ng pitong  gubat, naglagos ng pitong dagat."
ARAW,"Manok kong pula, inutusan ko ng umaga, nang umuwi ay gabi na."
ULAN,"Nang umalis ay lumilipad,  nang dumating ay umuusad."
ILOG,"Ako’y iyak ng iyak,
patuloy ang agos ng luha,
kahit daanan ng tubig ay biyak,
nilabas ko lang ang galit hanggang ito’y maging bula."
BATO,"Buhay na di kumikibo, patay na di bumabaho."
BULAKLAK,"Bumubuka’y walang bibig, ngumingiti ng tahimik."
BUWAN,"Kaisa-isang plato, kita sa buong mundo."
BULAKLAK,"Bumuka’y walang bibig, ngumingiti nang tahimik."
PALAY,"Nang wala pang ginto ay doon nagpalalo, nang magkagintu-ginto ay doon na nga sumuko."
PALAY,"Nagtanim ako ng isip sa gitna ng tubig, dahon ay makitid, bunga ay matulis."
LABONG NG KAWAYAN,"Kung saan masikip, doon nagsisiksik."
KULOG,"Baka ko sa Maynila, abot dito ang unga."
DAIGDIG,"Lupa, tubig at kalawakan, tirahan ng sangkatauhan."
KULOG,"Baka ko sa Palawan, unga’y nakakarating kahit saan."
GUMAMELA,"Tinaga ko ang puno, sa dulo nagdurugo."
TUBIG,"Buhok ng pari, hindi mahawi."
ALON,"Lumalakad nang walang paa, maingay paglapit niya."
MAKAHIYA,"Nang hinawakan ko ay namatay, nang iniwan ko ay nabuhay."
BUWAN,"Kaisa-isang plato, kita sa buong Mundo."
BATO,"Kakalat-kalat, natisud-tisod, ngunit kapag tinipon, matibay ang muog."
HAGDANAN,"Dalawang katawan, tagusan ang tadyang."
SALOT,"Problemang pangkalikasan, naghahatid ng maramihang kamatayan sa hayop man o sa halaman."
SIGA,"Mananayaw na puti ang kasuotan, nagpapabulaklak sa manggahan."
BITUIN,"Nagsabog ako ng binlid, pagka-umaga ay napalis."
TALA,"mikit-dumilat sa kalangitan
Nagbibigay ningning sa kadiliman."
TALON,"Buhos ng tubig na umaagos sa kaitaasan
Tumatalon sa ilug-ilugan."
TUBIG,"Handog ito ng kalikasan
Luha raw ng kalangitan."
TUBIG,"Ito ay napagsasalaminan
Huwag lang kayong maggagalawan."
TUBIG,"Kung pagod ka at pawisan
Nanunuyo ang lalamunan
Ito ang kinakailangan."
ULAN,"Baston ni Adan
Hindi mabilang-bilang."
ULAN,"Kristal na buhok ni Adan
Di mabilang-bilang."
ULAN,"Puting baston ni Impo
Di masapu-sapo."
USOK,"Hindi hayop, hindi hunghang,
Lumuluha ang abutan."
BAHAGHARI,"Manghahabing batikan,
Tubig ang hanay,
Ang yaring sinamay,
Iba’t ibang kulay."
BAHAGHARI,"Palda ni Santa Maria, ang kulay ay iba-iba."
BATO,"Kung sa ilan ay walang kwenta,
Sa gusali ay mahalaga."
LANGIT AT LUPA,"Dalawang suklob na pinggan,
Punong-puno ng kayamanan."
MUNDO,"Hindi akin, hindi iyo,
Pagmamay-ari ng lahat ng tao."
MAKAHIYA,"Kung bayaa’y mabubuhay,
Kung himasin ay mamamatay."
PALAY,"Nang salat sa yaman saka nagmayabang.
Nang naging mayaman doon nawala ang kapalaran."
ILOG,"Sangay-sangay na tubig, kung tawiri’y dapat kapit-bisig."
ILOG,Buhay pero ‘di tao. May bibig ngunit ‘di naimik. Umaagos nang tahimik.
ILOG,"Mababaw man kung ituring, patutunguhan naman ay malalim."
ILOG,"Ang agos na tuloy-tuloy, kung mabato’y huwag kang lalangoy."
ILOG,"Maraming tubig, kung umagos ay tahimik."
ULAP,"Bulak na bibitin-bitin,
Di pwedeng balutin."
ILOG,Ako ay buong araw na umaagos pero kahit kaylan ay hindi napagod ni hindi nakapagpahinga!
PAG-IBIG,"Bugtong-bugtong, hindi mabitawan kahit may kasalanan."
SARANGGOLA,"Buto’t-balat, lumilipad."
BANIG,"Kung gabi ay malapad, kung araw ay matangkad."
SAPATOS,"Dala mo, dala ka, dala ka pa ng iyong dala."
KANDILA,"Kung babayaan mong ako ay mabuhay
Yaong kamataya’y dagli kong kakamtan;
Ngunit kung ako’y pataying paminsan,
Ay lalong lalawig ang ingat kong buhay."
KABAONG,"Binili ko nang di nagustuhan, ginamit ko nang di ko nalalaman."
KAMPANA NG SIMBAHAN,"Nang hatakin ang baging, nagkagulo ang matsing."
SINTURON,"Hindi hayop, hindi tao, pumupulupot sa tiyan mo."
ILAW,"Isang butil ng palay, sakot ang buong buhay."
ZIPPER,"Dumaan ang hari, nagkagatan ang mga pari."
BAHAY,"Sa umaga ay nagtataboy, sa gabi ay nag-aampon."
KUBYERTOS,"Naabot na ng kamay, ipinagawa pa sa tulay."
KULAMBO,"Malaking supot ni Mang Jacob, kung sisidlan ay pataob."
KUMPISALAN,"May bintana nguni’t walang bubungan, may pinto nguni’t walang hagdanan."
BATYA,"Hindi tao, hindi hayop, kung uminom ay salup-salop."
KAMISETA,"Isa ang pasukan, tatlo ang labasan."
BOTE,"Nagbibigay na, sinasakal pa."
SANDOK,"May puno walang bunga, may dahon walang sanga."
HIKAW,"Dalawang ibong marikit, nagtitimbangan sa siit."
KAMISETA,"Isa ang pinasukan, tatlo ang nilabasan."
LAMPARA,"Isang uhay na palay, sikip sa buong bahay."
KWINTAS,"Kadena ay sinabit, sa batok nakakawit."
LASO,"Ikinakabit ito sa regalo, isinasabit sa buhok ni Amparito."
PANTALON,"Ang laylayan ay maikli, patalikwas pa ang lupi."
PANTALON,"Dalawang pinipit na suman,  nagmula sa puklo at hindi sa baywang; magingat ka katawan at baka ka mahubaran."
SAPATOS,May dila nga ngunit ayaw namang magsalita. Kambal sila’t laging magkasama ang isa’t isa.
SINGSING,"Ang ngalan ko ay iisa, ang uri ko’y iba-iba, gamit ako ng balana, sa daliri makikita."
SINTURON,"Ipinalilok ko at ipinalubid, naghigpitan ng kapit."
SOMBRERO,"Bumili ako ng alipin, mataas pa sa akin."
BANIG,"Buka kung hapon, kung umaga ay lulon."
BOLPEN,"Lumakad walang paa, tumatangis walang mata."
WATAWAT,"Aling dahon sa mundo, Ang iginagalang ng tao?"
BOMBILYA,"Kung gabi ay hinog, sa araw ay hilaw."
WATAWAT,"Isang pirasong tela lang ito, sinasaluduhan ng mga sundalo."
BAHAY,"Apat katao, iisa ang sombrero."
KABAYONG PLANTSAHAN,"Hindi hayop, hindi tao, kung ituring ay kabayo."
BANGKA,"Kabaong na walang takip, sasakyang nasa tubig."
ALKANSIYA,"Isang biyas na kawayan, maraming lamang kayamanan."
KUDKURAN NG NIYOG,"Baboy ko sa Bukidnon, kung hindi sakya’y hindi lalamon."
ZIPPER,"Dumaan si Tarzan, bumuka ang daan."
LAMESA,May apat na binti ngunit hindi makalakad.
ZIPPER,"Dumaan ang hari, nagkagatan ang mga pari."
SALAMIN,"Ang mabuting litrato, kuhang-kuha sa mukha mo."
BINTANA,Kung gabi’y si Sarasta; kung araw ay si Bukasta.
BAKOD,"Kayraming nakahiga, iilan lamang ang abot sa lupa."
PALITO SA POSPORO,"May ulo’y walang tiyan, may leeg walang baywang."
POSPORO,"Maliit na bahay, puno ng mga patay."
POSPORO,"Isang tingting na matigas, nang ikiskis ay namulaklak."
TULAY,"Ang ibabaw ay tawiran, ang ilalim ay lusutan."
GUNTING,Kundi sa bibig ko ay nagutom ang barbero.
BANGKA,"Wala sa langit, wala sa lupa, kung tumakbo ay patihaya."
GUNTING,"Dalawang patpat, sabay lumapat."
GUNTING,"Dalawang magkaibigan, magkadikit ang baywang; kapag silay’y nag papasyal, nahahawi ang daanan."
BASO,"Nakatindig walang paa, may tiya’y walang bituka."
HIKAW,"Binili kong mahal, Isinabit ko lamang."
SANDOK,Ang ulo’y nalalaga ang katawa’y pagala-gala.
PAKO,"Nagtago si Pedro, nakalabas ang ulo."
SAPATOS,"Walang sala ay ginapos, tinapakan pagkatapos."
SAPATOS,"Huminto nang pawalan, lumakad nang talian."
SAPATOS,"Alipin ng hari, hindi makalakad kung hindi itali."
KANDILA,Kung kailan ko pa pinatay ay saka nagtagal ang buhay.
SOBRE,"Kaban ng aking liham, may tagpi ang ibabaw."
SOBRE,"Utusan kong walang paa’t bibig, sa lihim ko’y siyang naghahatid, pag-inutusa’y di na babalik."
SOBRE,"Walang paa, lumalakad, walang bibig, nangungusap, walang hindi hinaharap na may dala-dalang sulat."
SINGSING,"Dikin ng hari, palamuti sa daliri."
SINGSING,"Hiyas akong mabilog, sa daliri isinusuot."
UNAN,"Malambot na parang ulap, kasama ko sa pangangarap."
UNAN,"Isang malaking suman, sandalan at himlayan."
KALENDARYO,"Ako’y aklat ng panahon, binabago taun-taon."
KALENDARYO,"Nagbibihis araw-araw, nag-iiba ng pangalan."
BARIL,"Sa maling kalabit, may buhay na kapalit."
KALENDARYO,"Halaman ng dunong, walang dilig maghapon, araw-araw kung bilangin isang taon kung tapusin."
WALIS,"Maraming paa, walang kamay, may pamigkis sa baywang ang ulo’y parang tagayan, alagad ng kalinisan."
BATYA,"Alalay kong bilugan, puro tubig ang tiyan."
SABITAN NG SOMBRERO,"Hindi hayop hindi tao, nagsusuot ng sumbrero."
TANSAN,"Panakip sa nakabotelya, yari lata."
PLUMA O PEN,"Lumuluha walang mata, lumalakad walang paa."
PLUMA O PEN,"Maliit na parang sibat, sandata ng mga pantas."
PLUMA O PEN,"Sandata ng mga paham, papel lamang ang hasaan."
PLATO,"Hindi ako sikat na pilosopo, tulad ng henyong kapangalan ko, pero mahal din ako ng tao, dahil kinakainan ako."
BAYONG O BASKET,"Sa buhatan ay may silbi, sa igiban ay walang sinabi."
BATYA,"Hindi tao, hindi hayop, kung uminom ay salup-salop."
PAYONG,"Bahay ni Mang Kulas, nang magiba’y tumaas."
ITAK O GULOK,"Sa bahay ko isinuksok, sa gubat ko binunot."
SILYANG TUMBA-TUMBA,"Kalesa ko sa Infanta, takbo nang takbo pero nakaparada."
DUYAN,"Takbo roon, takbo rito, hindi makaalis sa tayong ito."
DUYAN,"Banga ng pari, pauli-uli."
BAYONG,"May bibig walang panga, may tiyan walang bituka; may suso walang gatas, may puwit walang butas."
TIKLIS,"Gawa ito sa kinayas na kawayan, lalagyan ng santol, mangga at pakwan."
LAMBAT,"Butasi, butasi, butas din ang tinagpi."
KURBATA,"Pinilit na mabili, saka ipinambigti."
ORASAN,"Walang hininga ay may buhay, walang paa ay may kamay, mabilog na parang buwan, ang mukha’y may bilang."
BIYULIN (VIOLIN),"Sinakal ko muna, bago ko nilagari."
SUNGKAAN,"Aso ko sa Muralyon, lumukso ng pitong balon."
TAPAYAN,"Lumalalim kung bawasan, bumababaw kung dagdagan."
SINGSING,"Buklod na tinampukan, saksi ng pag-iibigan."
GITARA,"Instrumentong pangharana, hugis nito ay katawan ng dalaga."
SULAT,"Isang panyong parisukat, kung buksa’y nakakausap."
SUNGKAAN,"Pitong bundok, pitong lubak, tig-pitong anak."
SUNGKAAN,"Aso ko sa muralyon, lumukso ng pitong balon."
PANYO,"Binatak ko ang isa, tatlo pa ang sumama."
KUDKURAN,"Baboy ko sa Sorsogon, kung di sakyan, di lalamon."
POSTE,"Sundalong Amerikano, nakatayo sa kanto."
SALAPI O PERA,Sapagkat lahat na ay nakahihipo; walang kasindumi’t walang kasimbaho; bakit mahal nati’t ipinakatatago.
"APOG, IKMO AT BUNGA","Tatlong hukom, kung wala ang isa’y hindi makakahatol."
KAMPANA,"Tinuktok ko ang bangka, naglapitan ang mga isda."
GRANADA,"Bahay ni San Vicente, punung-puno ng diyamante."
GAWGAW,"Pampalapot sa sarsa, almirol sa kamiseta."
SIGARILYO,Isang lupa-lupaan sa dulo ng kawayan.
BAHAY,"Kung sa isda, ito ay dagat, kung sa ibon, ito’y pugad, lungga naman kung ahas, kung sa tao, ano ang tawag?"
RELO,"Maliit at malaki, iisa ang sinasabi."
BAHAY,"Puno ay layu-layo, dulo’y tagpu-tagpo."
NINGAS NG KANDILA,Tungkod ni apo hindi mahipo.
BATINGAW,"Uka na ang tiyan, malakas pang sumigaw."
KALSADA,"Lupa ni Mang Juan, kung sinu-sino ang dumadaan."
PANTALAN,"Bahay ko sa Pandakan, malapad ang harapan."
MESA,Alin sa mga santa ang apat ang paa?
SALAKOT,Korteng bunduk-bundukan. Itinataklob sa ulo ninuman upang di mainitan o mabasa ng ulan.
SALAKOT,"Maliit na bunduk-bundukan, parang payong sa kalawakan. Gamit-gamit sa tag-ulan."
SALBABIDA,Hindi donat na kinakain pero may butas din. Sa eroplano at barko ay mahalaga lalo na at may aberya.
SALAMIN SA MATA,Bagama’t nakatakip ay naisisilip
SALUBSOB,Munting siit na bumaon sa daliri ni Corazon.
SAMBALILO,Sinamba ko muna bago ko nililo.
SANGKALAN,"Gamit itong tadtaran upang mapaliit ang may kalakihan. Kahoy itong may kakapalan, gamit sa lutuan."
SASTRE,Kaunting panukat at makina ay kailangan niya upang may maisuot ang iyong ama.
